filename,width,height,class,xmin,ymin,xmax,ymax
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,250,141,339,226
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,195,74,281,173
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,99,101,187,191
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,26,74,109,150
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,22,150,111,224
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,21,226,113,305
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,172,154,245,233
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,246,226,332,314
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,158,233,242,317
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,99,190,174,268
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,108,298,188,383
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,25,304,108,381
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,189,306,267,380
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,265,309,344,382
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,125,23,217,116
_2015-02-16_23-44-38-4090_90.bmp,512,384,onion,50,1,126,77
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,81,59,165,148
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,187,151,268,235
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,208,230,294,307
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,108,140,194,224
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,20,153,108,230
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,26,229,103,306
_2015-02-16_23-44-49-4650_90.bmp,512,384,onion,103,226,189,308
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,193,230,278,312
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,111,221,193,307
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,24,227,110,306
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,210,101,297,192
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,134,125,218,218
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,25,149,120,224
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,36,65,121,150
_2015-02-16_23-45-01-3360_90.bmp,512,384,onion,155,38,243,125
_2015-02-16_23-45-04-0970_90.bmp,512,384,onion,56,79,140,162
_2015-02-16_23-45-04-0970_90.bmp,512,384,onion,126,147,214,235
_2015-02-16_23-45-04-0970_90.bmp,512,384,onion,121,235,207,314
_2015-02-16_23-45-04-0970_90.bmp,512,384,onion,24,230,117,314
_2015-02-16_23-45-04-0970_90.bmp,512,384,onion,26,152,104,233
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,20,127,107,213
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,135,145,220,224
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,190,216,277,293
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,196,299,277,375
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,113,302,194,373
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,103,227,182,305
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,24,215,105,293
_2015-02-16_23-45-14-4260_90.bmp,512,384,onion,27,295,114,375
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,47,55,162,125
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,34,131,117,204
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,103,169,184,247
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,20,201,118,302
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,245,246,322,326
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,194,299,273,380
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,149,232,238,320
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,103,289,189,382
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,25,298,106,381
_2015-02-16_23-45-17-1750_90.bmp,512,384,onion,290,308,359,382
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,21,145,114,246
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,114,160,199,248
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,26,296,107,377
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,72,228,161,318
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,160,235,245,321
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,213,300,304,383
_2015-02-16_23-45-26-1950_90.bmp,512,384,onion,108,299,194,380
_2015-02-16_23-45-29-0190_90.bmp,512,384,onion,54,214,140,296
_2015-02-16_23-45-29-0190_90.bmp,512,384,onion,141,225,226,314
_2015-02-16_23-45-29-0190_90.bmp,512,384,onion,206,295,287,379
_2015-02-16_23-45-29-0190_90.bmp,512,384,onion,101,290,185,375
_2015-02-16_23-45-29-0190_90.bmp,512,384,onion,23,285,100,372
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,123,107,205,187
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,48,145,135,233
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,162,176,243,252
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,201,235,305,318
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,24,222,103,299
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,101,216,186,307
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,40,296,142,380
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,150,292,237,377
_2015-02-16_23-45-39-5080_90.bmp,512,384,onion,238,304,327,380
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,44,35,155,143
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,197,148,278,229
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,114,130,199,211
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,27,137,114,217
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,30,220,113,305
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,113,212,197,296
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,211,230,293,312
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,198,306,275,375
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,114,297,199,377
_2015-02-16_23-45-42-2680_90.bmp,512,384,onion,27,302,113,377
_2015-02-16_23-45-51-4060_90.bmp,512,384,onion,119,159,206,244
_2015-02-16_23-45-51-4060_90.bmp,512,384,onion,288,233,376,323
_2015-02-16_23-45-51-4060_90.bmp,512,384,onion,177,221,271,308
_2015-02-16_23-45-51-4060_90.bmp,512,384,onion,64,223,148,311
_2015-02-16_23-45-51-4060_90.bmp,512,384,onion,24,144,118,228
_2015-02-16_23-43-33-6170_90.bmp,512,384,onion,23,153,99,237
