filename,width,height,class,xmin,ymin,xmax,ymax
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,1002,499,1356,801
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,781,261,1125,612
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,397,359,751,674
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,105,264,439,530
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,90,530,447,794
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,85,801,454,1078
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,691,545,982,825
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,985,798,1329,1111
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,635,825,969,1120
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,399,672,698,947
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,434,1054,753,1355
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,103,1074,434,1347
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,756,1083,1070,1342
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,1060,1091,1377,1349
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,500,82,869,412
_2015-02-16_23-44-38-4090_90.bmp,2048,1356,onion,201,4,505,272
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,326,210,663,525
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,751,534,1075,832
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,834,812,1176,1087
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,434,497,778,792
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,80,543,432,814
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,105,810,414,1083
_2015-02-16_23-44-49-4650_90.bmp,2048,1356,onion,412,801,758,1089
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,773,814,1113,1105
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,447,783,773,1087
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,98,803,442,1083
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,841,357,1188,679
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,537,441,874,770
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,103,528,482,794
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,145,230,484,532
_2015-02-16_23-45-01-3360_90.bmp,2048,1356,onion,620,137,972,443
_2015-02-16_23-45-04-0970_90.bmp,2048,1356,onion,226,281,562,574
_2015-02-16_23-45-04-0970_90.bmp,2048,1356,onion,505,521,856,832
_2015-02-16_23-45-04-0970_90.bmp,2048,1356,onion,487,830,831,1109
_2015-02-16_23-45-04-0970_90.bmp,2048,1356,onion,98,814,469,1109
_2015-02-16_23-45-04-0970_90.bmp,2048,1356,onion,105,539,417,823
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,80,450,429,754
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,542,512,882,792
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,761,765,1108,1036
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,786,1056,1108,1327
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,454,1069,776,1320
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,414,803,728,1078
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,98,761,422,1036
_2015-02-16_23-45-14-4260_90.bmp,2048,1356,onion,108,1043,459,1324
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,188,197,650,443
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,138,466,469,723
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,412,596,738,874
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,82,710,472,1069
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,980,869,1291,1151
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,778,1058,1095,1344
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,598,821,952,1131
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,412,1023,756,1351
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,103,1054,424,1347
_2015-02-16_23-45-17-1750_90.bmp,2048,1356,onion,1160,1089,1439,1349
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,85,512,457,869
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,459,565,796,878
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,105,1047,429,1333
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,288,805,645,1125
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,640,832,980,1136
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,854,1060,1218,1353
_2015-02-16_23-45-26-1950_90.bmp,2048,1356,onion,432,1058,778,1342
_2015-02-16_23-45-29-0190_90.bmp,2048,1356,onion,218,756,562,1047
_2015-02-16_23-45-29-0190_90.bmp,2048,1356,onion,567,796,907,1111
